ANO,PARAÍBA,NORDESTE,NORTE,SUDESTE,SUL,CENTRO-OESTE,BRASIL IBGE,BRASIL,MUNDO,FR BRASIL,FR MUNDO,DR BRASIL,DR MUNDO,BR BRASIL,BR MUNDO,LE BRASIL,LE MUNDO
2002,3.494.893,48.845.112,13.504.599,74.447.456,25.734.253,12.101.540,174.632.960,  179 369, 6 271 638,"2,10","2,67","6,3","8,3","18,6","21,2","70,4","67,1"
2003,3.518.595,49.352.225,13.784.881,75.391.969,26.025.091,12.317.271,176.871.437,  181 584, 6 353 177,"2,02","2,65","6,3","8,3","17,9","21,0","70,7","67,5"
2004,3.568.350,50.427.274,14.373.260,77.374.720,26.635.629,12.770.141,181.581.024,  183 674, 6 434 620,"2,00","2,64","6,3","8,2","17,6","20,9","71,1","67,8"
2005,3.595.886,51.019.091,14.698.878,78.472.017,26.973.511,13.020.767,184.184.264,  185 770, 6 516 883,"1,97","2,62","6,1","8,1","17,3","20,7","71,8","68,2"
2006,3.623.215,51.609.027,15.022.060,79.561.095,27.308.863,13.269.517,186.770.562,  187 825, 6 599 469,"1,93","2,61","6,1","8,0","16,9","20,6","72,0","68,7"
2007,3.641.397,51.535.782,14.623.317,77.873.342,26.733.877,13.223.393,183.989.711,  189 817, 6 683 363,"1,88","2,61","6,1","7,9","16,4","20,6","72,4","69,1"
2008,3.742.606,53.088.499,15.142.684,80.187.717,27.497.970,13.695.944,189.612.814,  191 742, 6 768 534,"1,84","2,61","6,1","7,9","15,9","20,6","72,7","69,3"
2009,3.769.977,53.591.197,15.359.608,80.915.332,27.719.118,13.895.375,191.480.630,  193 602, 6 854 661,"1,83","2,61","6,2","7,8","15,7","20,5","72,9","69,8"
2010,3.766.834,53.078.137,15.880.839,80.353.724,27.384.815,14.050.340,190.747.855,  195 433, 6 941 951,"1,81","2,59","6,2","7,8","15,5","20,3","73,2","70,1"
2011,3.791.315,53.501.859,16.095.187,80.975.616,27.562.433,14.244.192,192.379.287,  197 274, 7 029 255,"1,80","2,57","6,3","7,7","15,3","20,1","73,3","70,5"
2012,3.815.171,53.907.144,16.318.163,81.565.983,27.731.644,14.423.952,193.946.886,  199 096, 7 116 996,"1,77","2,59","6,3","7,7","14,9","20,1","73,6","70,9"
2013,3.914.421,55.794.707,16.983.484,84.465.570,28.795.762,14.993.191,201.032.714,  200 859, 7 206 400,"1,75","2,56","6,3","7,6","14,7","19,8","73,9","71,2"
2014,3.943.885,56.186.190,17.231.027,85.115.623,29.016.114,15.219.608,202.768.562,  202 584, 7 294 787,"1,77","2,55","6,3","7,5","14,8","19,6","74,3","71,6"
2015,3.972.202,56.560.081,17.472.636,85.745.520,29.230.180,15.442.232,204.450.649,  204 335, 7 383 240,"1,78","2,52","6,4","7,5","14,7","19,2","74,3","71,8"
2016,3.999.415,56.915.936,17.707.783,86.356.952,29.439.773,15.660.988,206.081.432,  206 042, 7 469 955,"1,71","2,53","6,5","7,5","14,1","19,1","74,4","72,1"
2017,4.025.558,57.254.159,17.936.201,86.949.714,29.644.948,15.875.907,207.660.929,  207 678, 7 556 993,"1,74","2,50","6,5","7,5","14,2","18,8","74,8","72,3"
2018,3.996.496,56.760.780,18.182.253,87.711.946,29.754.036,16.085.885,208.494.900,  209 332, 7 642 651,"1,75","2,44","6,5","7,5","14,1","18,2","75,1","72,6"
2019,4.018.127,57.071.654,18.430.980,88.371.433,29.975.984,16.297.074,210.147.125,  211 001, 7 724 928,"1,70","2,41","6,6","7,5","13,6","17,8","75,3","72,8"
2020,4.039.277,57.374.243,18.672.591,89.012.240,30.192.315,16.504.303,211.755.692,  212 565, 7 804 974,"1,65","2,35","7,4","8,1","13,1","17,2","74,0","72,0"
2021,4.059.905,57.667.842,18.906.962,89.632.912,30.402.587,16.707.336,213.317.639,  213 828, 7 876 932,"1,64","2,32","8,3","8,8","12,9","16,9","72,8","71,0"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"https://www.macrotrends.net/countries/BRA/brazil/population#:~:text=The%20current%20population%20of%20Brazil,a%200.67%25%20increase%20from%202019.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,https://www.worldometers.info/world-population/world-population-by-year/,,,,,,,,,,,,,,,,
